metric,flank,value,lo,hi,note
auc_vs_chance,0,0.40062272963155166,0.3450222968152628,0.4558342523340871,BELOW chance
auc_vs_chance,300,0.5210560456668396,0.46459160449809633,0.5778313771814862,indistinguishable
auc_vs_chance,1200,0.5374156720290607,0.480954203425013,0.5930727545560966,indistinguishable
auc_vs_chance,3000,0.5426310326933057,0.4856249544726107,0.5992361554652105,indistinguishable
auc_vs_chance,5400,0.5368059159314997,0.4807795861841061,0.5929880059105472,indistinguishable
trend_all5,-1,0.7,nan,nan,p=0.1167
trend_no0,-1,0.4,nan,nan,p=0.3750
auc_diff_300_vs_0,300,0.12043331603528795,0.09122049443393779,0.15014416627467375,excludes 0
auc_diff_5400_vs_0,5400,0.13618318629994808,0.10552636177965091,0.16745296411081545,excludes 0
auc_diff_5400_vs_300,5400,0.015749870264660126,0.0007170174142051817,0.031339355089355016,excludes 0
auc_diff_5400_vs_1200,5400,-0.0006097560975609762,-0.01618866812554043,0.01478095649314371,contains 0
score_corr_300_5400,300,0.9625047057079663,nan,nan,
score_corr_1200_5400,1200,0.9718764851764512,nan,nan,
rho_on,0,0.47272227114694926,nan,nan,
rho_off,0,0.36277665431235695,nan,nan,
rho_on,300,0.4897275464611734,nan,nan,
rho_off,300,0.23945985963980293,nan,nan,
rho_on,1200,0.46569477565613393,nan,nan,
rho_off,1200,0.20561356760223953,nan,nan,
rho_on,3000,0.46723400774382207,nan,nan,
rho_off,3000,0.21641795214787568,nan,nan,
rho_on,5400,0.46812360965382477,nan,nan,
rho_off,5400,0.2187044992185227,nan,nan,
