wid,arm,genome,contig,start,gc,L,span_start,placement,cds_frac,exact,tok_acc,nt_acc,max_run_nt,logp_true
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,1,418,random,,0,0.0,0.3333333333333333,1,-7.0888
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,1,315,random,,0,0.0,0.5,1,-10.6752
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,1,254,random,,0,0.0,0.16666666666666666,1,-8.2868
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,1,138,random,,0,0.0,0.16666666666666666,1,-7.8016
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,1,156,random,,0,0.0,0.16666666666666666,1,-7.5467
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,1,27,random,,0,0.0,0.6666666666666666,3,-7.5012
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,2,44,random,,0,0.0,0.4166666666666667,3,-7.7577
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,2,15,random,,0,0.0,0.5833333333333334,2,-8.2889
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,2,92,random,,0,0.0,0.4166666666666667,2,-7.4828
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,2,399,random,,0,0.0,0.4166666666666667,3,-7.7641
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,2,321,random,,0,0.0,0.25,2,-8.0723
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,2,447,random,,0,0.0,0.4166666666666667,3,-7.4649
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,5,249,random,,0,0.0,0.36666666666666664,4,-8.1757
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,5,298,random,,0,0.0,0.36666666666666664,2,-7.6847
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,5,472,random,,0,0.0,0.3,2,-7.4994
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,5,357,random,,0,0.0,0.3333333333333333,2,-8.4334
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,5,310,random,,0,0.0,0.23333333333333334,4,-7.8278
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,5,268,random,,0,0.0,0.2,4,-8.3579
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,10,273,random,,0,0.0,0.36666666666666664,3,-7.8516
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,10,451,random,,0,0.0,0.35,5,-6.9837
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,10,139,random,,0,0.0,0.38333333333333336,4,-7.2325
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,10,394,random,,0,0.0,0.31666666666666665,4,-7.7559
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,10,325,random,,0,0.0,0.31666666666666665,3,-8.2981
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,10,9,random,,0,0.0,0.38333333333333336,3,-8.4241
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,20,190,random,,0,0.0,0.3416666666666667,4,-7.5568
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,20,405,random,,0,0.0,0.275,4,-7.0412
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,20,265,random,,0,0.0,0.3416666666666667,4,-8.0694
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,20,23,random,,0,0.0,0.3,4,-8.1901
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,20,362,random,,0,0.0,0.275,3,-7.6102
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,20,346,random,,0,0.0,0.3416666666666667,4,-8.2899
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,40,383,random,,0,0.0,0.325,5,-7.1283
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,40,85,random,,0,0.0,0.32916666666666666,4,-7.6395
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,40,47,random,,0,0.0,0.32083333333333336,4,-7.8786
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,40,391,random,,0,0.0,0.32916666666666666,4,-7.146
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,40,17,random,,0,0.0,0.30833333333333335,4,-8.1336
0,member_offframe,M.albiziae,NZ_FOSL01000008.1,175173,0.628,40,248,random,,0,0.0,0.3125,3,-7.8758
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,1,236,random,,0,0.0,0.16666666666666666,1,-7.9164
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,1,255,random,,0,0.0,0.0,0,-10.5479
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,1,372,random,,0,0.0,0.3333333333333333,2,-8.3142
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,1,467,random,,0,0.0,0.5,2,-7.1696
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,1,24,random,,0,0.0,0.5,3,-9.0081
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,1,77,random,,0,0.0,0.3333333333333333,1,-9.2385
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,2,404,random,,0,0.0,0.3333333333333333,3,-9.1913
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,2,465,random,,0,0.0,0.16666666666666666,1,-9.1455
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,2,128,random,,0,0.0,0.5833333333333334,5,-6.2656
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,2,158,random,,0,0.0,0.4166666666666667,2,-7.251
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,2,426,random,,0,0.0,0.25,2,-8.8205
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,2,212,random,,0,0.0,0.08333333333333333,1,-8.704
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,5,138,random,,0,0.0,0.3,2,-7.979
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,5,404,random,,0,0.0,0.2,2,-8.7975
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,5,131,random,,0,0.0,0.3333333333333333,3,-7.6288
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,5,204,random,,0,0.0,0.4666666666666667,4,-6.7824
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,5,316,random,,0,0.0,0.36666666666666664,2,-8.2709
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,5,271,random,,0,0.0,0.26666666666666666,2,-9.2285
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,10,48,random,,0,0.0,0.23333333333333334,3,-8.1702
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,10,21,random,,0,0.0,0.3,4,-8.4785
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,10,418,random,,0,0.1,0.38333333333333336,6,-8.1328
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,10,365,random,,0,0.0,0.3,3,-8.1381
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,10,405,random,,0,0.0,0.38333333333333336,4,-8.0627
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,10,263,random,,0,0.0,0.35,2,-7.8161
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,20,387,random,,0,0.0,0.35,3,-8.1514
1,member_offframe,M.albiziae,NZ_FOSL01000041.1,19437,0.593,20,160,random,,0,0.0,0.25833333333333336,2,-7.1067
