dms_id,n,organism,rho_evo2,target_len
ADRB2_HUMAN_Jones_2020,1500,Homo sapiens,0.39296509198448537,413
AMIE_PSEAE_Wrenbeck_2017,1500,Pseudomonas aeruginosa,0.550142736929219,346
BLAT_ECOLX_Deng_2012,1500,Escherichia coli,0.3322579201375404,286
BLAT_ECOLX_Firnberg_2014,1500,Escherichia coli,0.3861125022870207,286
BLAT_ECOLX_Jacquier_2013,989,Escherichia coli,0.31863458846609677,286
BLAT_ECOLX_Stiffler_2015,1500,Escherichia coli,0.4249849142155175,286
CALM1_HUMAN_Weile_2017,1500,Homo sapiens,0.17369624956336313,149
CCDB_ECOLI_Adkar_2012,1176,Escherichia coli,0.17270770522534593,101
CCDB_ECOLI_Tripathi_2016,1500,Escherichia coli,0.18282713194456732,101
DYR_ECOLI_Thompson_plusLon_2019,1500,Escherichia coli,0.26127886526512817,159
ESTA_BACSU_Nutschel_2020,1500,Bacillus subtilis,0.30288472526161214,212
GRB2_HUMAN_Faure_2021,1034,Homo sapiens,0.3943481948772665,217
IF1_ECOLI_Kelsic_2016,1367,Escherichia coli,0.303061873797834,72
KKA2_KLEPN_Melnikov_2014,1500,Klebsiella pneumoniae,0.5386866748447094,264
MK01_HUMAN_Brenan_2016,1500,Homo sapiens,-0.17846183058611303,360
NUD15_HUMAN_Suiter_2020,1500,Homo sapiens,0.3676827838590151,164
P53_HUMAN_Kotler_2018,1048,Homo sapiens,0.4456872870983046,393
PTEN_HUMAN_Matreyek_2021,1500,Homo sapiens,0.2732460591428907,403
PTEN_HUMAN_Mighell_2018,1500,Homo sapiens,0.19248119768487648,403
R1AB_SARS2_Flynn_growth_2022,1500,SARS-COV2,0.05101697159021775,306
RASH_HUMAN_Bandaru_2017,1500,Homo sapiens,0.20217716025845092,189
RL401_YEAST_Mavor_2016,1253,Saccharomyces cerevisiae S288C,0.22465136282356843,128
RL401_YEAST_Roscoe_2013,1195,Saccharomyces cerevisiae S288C,0.26677007127894353,128
RL401_YEAST_Roscoe_2014,1380,Saccharomyces cerevisiae S288C,0.2341855197178834,128
SUMO1_HUMAN_Weile_2017,1500,Homo sapiens,0.23072860743493667,101
TADBP_HUMAN_Bolognesi_2019,1196,Homo sapiens,0.09590361782049829,414
TAT_HV1BR_Fernandes_2016,1500,Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1),-0.025589051691353393,86
TPK1_HUMAN_Weile_2017,1500,Homo sapiens,0.192427257762967,243
TPMT_HUMAN_Matreyek_2018,1500,Homo sapiens,0.22671770649981218,245
TRPC_SACS2_Chan_2017,1500,Thermus thermophilus,0.4370663480700105,248
VKOR1_HUMAN_Chiasson_abundance_2020,1500,Homo sapiens,0.36784009625590064,163
VKOR1_HUMAN_Chiasson_activity_2020,697,Homo sapiens,0.3271028499420587,163
